"CREATEDBYID","CREATEDDATE","DESCRIPTION","ID","ISACTIVE","ISARCHIVED","ISDELETED","ISSTANDARD","LASTMODIFIEDBYID","LASTMODIFIEDDATE","LASTREFERENCEDDATE","LASTVIEWEDDATE","NAME","SYSTEMMODSTAMP"
"0056g000003Lk8jAAC","2020-01-23T18:48:17.000Z","","01s6g000006P6NZAA0","true","false","false","false","0056g000003Lk8jAAC","2020-01-23T18:48:17.000Z","2020-03-13T01:33:48.000Z","2020-03-13T01:33:48.000Z","Standard","2020-01-23T18:48:17.000Z"
"0056g000003Lk8jAAC","2020-01-23T18:48:17.000Z","","01s6g000006P6NaAAK","true","false","false","true","0056g000003Lk8jAAC","2020-03-13T01:24:17.000Z","2020-03-13T01:25:43.000Z","2020-03-13T01:25:43.000Z","Standard Price Book","2020-03-13T01:24:17.000Z"
